Date,Month,Year,Revenue,Expenses,Income,Cash_Flow,Quarter,Day_of_Week,Week_of_Year,Cumulative_Cash_Flow
2020-02-10,2,2020,8212.18,5782.14,2430.04,961.27,1,0,7,61742.56999999999
2020-02-11,2,2020,6914.83,4987.68,1927.15,-967.08,1,1,7,60775.48999999999
2020-02-12,2,2020,8677.07,5791.25,2885.82,-2440.22,1,2,7,58335.26999999999
2020-02-13,2,2020,7510.84,4510.04,3000.81,5313.34,1,3,7,63648.609999999986
2020-02-14,2,2020,10184.13,6783.94,3400.18,2280.16,1,4,7,65928.76999999999
2020-02-15,2,2020,5329.22,4328.61,1000.61,7129.6,1,5,7,73058.37
2020-02-16,2,2020,5309.41,3626.49,1682.92,-488.47,1,6,7,72569.9
2020-02-17,2,2020,7948.69,5345.79,2602.9,3804.6,1,0,8,76374.5
2020-02-18,2,2020,9607.12,6569.16,3037.96,900.59,1,1,8,77275.09
2020-02-19,2,2020,9115.23,6823.95,2291.28,1913.56,1,2,8,79188.65
2020-02-20,2,2020,10002.35,7376.29,2626.06,742.0,1,3,8,79930.65
2020-02-21,2,2020,10235.42,6578.84,3656.58,3803.05,1,4,8,83733.7
2020-02-22,2,2020,4399.37,3325.24,1074.13,4395.23,1,5,8,88128.93
2020-02-23,2,2020,5189.69,3187.4,2002.29,-1660.32,1,6,8,86468.60999999999
2020-02-24,2,2020,8131.04,6048.18,2082.87,1625.98,1,0,9,88094.58999999998
2020-02-25,2,2020,7128.94,4555.19,2573.75,509.38,1,1,9,88603.96999999999
2020-02-26,2,2020,9677.89,7189.64,2488.25,-62.69,1,2,9,88541.27999999998
2020-02-27,2,2020,7345.22,4832.15,2513.07,-2494.82,1,3,9,86046.45999999998
2020-02-28,2,2020,9031.47,6265.8,2765.67,6922.16,1,4,9,92968.61999999998
2020-02-29,2,2020,4691.66,2999.34,1692.33,4064.0,1,5,9,97032.61999999998
2020-03-01,3,2020,5825.24,3816.33,2008.91,1750.75,1,6,9,98783.36999999998
2020-03-02,3,2020,8921.61,6101.76,2819.85,315.48,1,0,10,99098.84999999998
2020-03-03,3,2020,9966.38,6723.85,3242.53,3921.96,1,1,10,103020.80999999998
2020-03-04,3,2020,10165.36,6372.79,3792.57,4914.29,1,2,10,107935.09999999998
2020-03-05,3,2020,9088.86,6980.3,2108.57,1592.23,1,3,10,109527.32999999997
2020-03-06,3,2020,9033.8,5476.39,3557.41,1419.23,1,4,10,110946.55999999997
2020-03-07,3,2020,6034.44,3974.51,2059.93,-356.55,1,5,10,110590.00999999997
2020-03-08,3,2020,6251.62,4250.72,2000.9,5727.07,1,6,10,116317.07999999996
2020-03-09,3,2020,9968.93,6984.53,2984.4,-501.1,1,0,11,115815.97999999995
2020-03-10,3,2020,11169.64,8354.48,2815.16,2249.98,1,1,11,118065.95999999995
2020-03-11,3,2020,8903.53,6127.93,2775.61,-18.36,1,2,11,118047.59999999995
2020-03-12,3,2020,9020.6,6382.25,2638.35,5125.04,1,3,11,123172.63999999994
2020-03-13,3,2020,11452.58,7162.1,4290.48,4626.32,1,4,11,127798.95999999993
2020-03-14,3,2020,6848.94,4201.71,2647.22,3864.51,1,5,11,131663.46999999994
2020-03-15,3,2020,5682.08,3645.11,2036.97,-1675.3,1,6,11,129988.16999999994
2020-03-16,3,2020,9174.56,7081.01,2093.55,1647.32,1,0,12,131635.48999999993
2020-03-17,3,2020,9674.09,6745.02,2929.06,5547.02,1,1,12,137182.50999999992
2020-03-18,3,2020,11267.56,8063.33,3204.24,4666.92,1,2,12,141849.42999999993
2020-03-19,3,2020,8448.26,6139.98,2308.28,-3380.56,1,3,12,138468.86999999994
2020-03-20,3,2020,9528.89,6423.47,3105.42,5314.08,1,4,12,143782.94999999992
2020-03-21,3,2020,6401.92,4301.04,2100.87,241.96,1,5,12,144024.90999999992
2020-03-22,3,2020,7372.37,5246.72,2125.65,1408.45,1,6,12,145433.35999999993
2020-03-23,3,2020,10589.63,7270.1,3319.54,2805.35,1,0,13,148238.70999999993
2020-03-24,3,2020,10510.22,6462.01,4048.21,3426.02,1,1,13,151664.72999999992
2020-03-25,3,2020,9755.82,6192.76,3563.05,1914.4,1,2,13,153579.12999999992
2020-03-26,3,2020,10471.29,6753.33,3717.96,6837.92,1,3,13,160417.04999999993
2020-03-27,3,2020,10296.61,6977.66,3318.95,1662.73,1,4,13,162079.77999999994
2020-03-28,3,2020,5612.64,3526.4,2086.24,3345.68,1,5,13,165425.45999999993
2020-03-29,3,2020,6198.56,4712.35,1486.22,4963.38,1,6,13,170388.83999999994
2020-03-30,3,2020,10665.91,7135.3,3530.61,6076.78,1,0,14,176465.61999999994
2020-03-31,3,2020,8343.0,6410.29,1932.71,1210.46,1,1,14,177676.07999999993
2020-04-01,4,2020,10951.33,7836.36,3114.97,3975.84,2,2,14,181651.91999999993
2020-04-02,4,2020,9518.76,6232.63,3286.13,2752.83,2,3,14,184404.7499999999
2020-04-03,4,2020,9561.03,6525.03,3036.01,13016.32,2,4,14,197421.06999999992
2020-04-04,4,2020,5676.15,3972.37,1703.78,-208.94,2,5,14,197212.12999999992
2020-04-05,4,2020,5980.66,3986.59,1994.07,294.05,2,6,14,197506.1799999999
2020-04-06,4,2020,10402.9,7348.28,3054.62,-1257.33,2,0,15,196248.84999999992
2020-04-07,4,2020,9981.79,6780.9,3200.89,744.37,2,1,15,196993.2199999999
2020-04-08,4,2020,7783.72,5715.06,2068.66,5535.23,2,2,15,202528.44999999992
2020-04-09,4,2020,10632.57,7588.24,3044.33,601.44,2,3,15,203129.88999999993
2020-04-10,4,2020,8575.79,7125.07,1450.72,1329.69,2,4,15,204459.57999999993
2020-04-11,4,2020,6635.92,4374.8,2261.12,2080.47,2,5,15,206540.04999999993
2020-04-12,4,2020,6197.58,3963.04,2234.54,3730.42,2,6,15,210270.46999999994
2020-04-13,4,2020,11448.74,7683.89,3764.86,4570.89,2,0,16,214841.35999999996
2020-04-14,4,2020,7833.99,5171.65,2662.34,2172.14,2,1,16,217013.49999999997
2020-04-15,4,2020,9880.71,6302.98,3577.73,5278.52,2,2,16,222292.01999999996
2020-04-16,4,2020,9794.82,7144.5,2650.32,2118.45,2,3,16,224410.46999999997
2020-04-17,4,2020,8117.54,5828.71,2288.83,4394.52,2,4,16,228804.98999999996
2020-04-18,4,2020,5830.18,3430.96,2399.21,4630.55,2,5,16,233435.53999999995
2020-04-19,4,2020,6105.92,4525.44,1580.49,437.8,2,6,16,233873.33999999994
2020-04-20,4,2020,10602.19,7723.13,2879.06,2552.48,2,0,17,236425.81999999995
2020-04-21,4,2020,10623.64,7568.4,3055.24,-631.35,2,1,17,235794.46999999994
2020-04-22,4,2020,10512.58,7107.74,3404.84,-1554.34,2,2,17,234240.12999999995
2020-04-23,4,2020,9628.01,5682.2,3945.81,2802.87,2,3,17,237042.99999999994
2020-04-24,4,2020,11923.18,8063.89,3859.29,-162.12,2,4,17,236880.87999999995
2020-04-25,4,2020,5531.46,3683.88,1847.58,1061.7,2,5,17,237942.57999999996
2020-04-26,4,2020,6816.66,4452.47,2364.19,-564.28,2,6,17,237378.29999999996
2020-04-27,4,2020,9827.63,7519.04,2308.58,4030.07,2,0,18,241408.36999999997
2020-04-28,4,2020,9426.56,6539.31,2887.26,5683.47,2,1,18,247091.83999999997
2020-04-29,4,2020,9362.11,6212.0,3150.1,1482.44,2,2,18,248574.27999999997
2020-04-30,4,2020,11362.17,6635.09,4727.08,2812.57,2,3,18,251386.84999999998
2020-05-01,5,2020,9789.9,6725.3,3064.6,3233.12,2,4,18,254619.96999999997
2020-05-02,5,2020,6755.71,4964.17,1791.55,3618.41,2,5,18,258238.37999999998
2020-05-03,5,2020,6732.04,4339.97,2392.07,2935.96,2,6,18,261174.33999999997
2020-05-04,5,2020,9962.7,6021.83,3940.87,3224.56,2,0,19,264398.89999999997
2020-05-05,5,2020,10261.45,7895.46,2365.99,760.76,2,1,19,265159.66
2020-05-06,5,2020,8473.56,5335.16,3138.4,-581.37,2,2,19,264578.29
2020-05-07,5,2020,10649.56,7317.94,3331.62,7415.69,2,3,19,271993.98
2020-05-08,5,2020,12735.45,7826.89,4908.56,13120.51,2,4,19,285114.49
2020-05-09,5,2020,7634.53,5654.84,1979.69,0.49,2,5,19,285114.98
2020-05-10,5,2020,6284.29,4192.49,2091.8,4516.13,2,6,19,289631.11
2020-05-11,5,2020,10481.35,6461.87,4019.48,4448.91,2,0,20,294080.01999999996
2020-05-12,5,2020,13611.6,9303.98,4307.61,4976.52,2,1,20,299056.54
2020-05-13,5,2020,11462.23,7813.25,3648.99,3423.22,2,2,20,302479.75999999995
2020-05-14,5,2020,12125.71,8475.94,3649.77,-501.82,2,3,20,301977.93999999994
2020-05-15,5,2020,11969.63,7565.79,4403.83,7614.07,2,4,20,309592.00999999995
2020-05-16,5,2020,6626.18,4098.43,2527.75,5537.96,2,5,20,315129.97
2020-05-17,5,2020,7339.05,5732.0,1607.06,5801.7,2,6,20,320931.67
2020-05-18,5,2020,13417.69,9649.74,3767.95,-134.38,2,0,21,320797.29
2020-05-19,5,2020,8851.81,5925.62,2926.2,4065.73,2,1,21,324863.01999999996
2020-05-20,5,2020,9972.87,6917.33,3055.53,4756.8,2,2,21,329619.81999999995
2020-05-21,5,2020,12254.3,7823.17,4431.13,-135.62,2,3,21,329484.19999999995
2020-05-22,5,2020,11782.9,7965.17,3817.73,-941.66,2,4,21,328542.54
2020-05-23,5,2020,8573.52,5596.5,2977.02,-2569.63,2,5,21,325972.91
2020-05-24,5,2020,8579.9,5249.67,3330.23,8437.13,2,6,21,334410.04
2020-05-25,5,2020,12957.92,9518.64,3439.28,4790.99,2,0,22,339201.02999999997
2020-05-26,5,2020,13128.07,9364.94,3763.13,5207.43,2,1,22,344408.45999999996
2020-05-27,5,2020,10180.75,8453.07,1727.69,-1723.28,2,2,22,342685.17999999993
2020-05-28,5,2020,11412.76,7438.95,3973.81,1351.5,2,3,22,344036.67999999993
2020-05-29,5,2020,14196.96,10179.27,4017.69,3941.37,2,4,22,347978.04999999993
2020-05-30,5,2020,7045.58,5288.88,1756.7,5817.64,2,5,22,353795.68999999994
2020-05-31,5,2020,8420.74,6098.79,2321.95,3816.23,2,6,22,357611.9199999999
2020-06-01,6,2020,10855.13,6311.38,4543.75,3577.5,2,0,23,361189.4199999999
2020-06-02,6,2020,15360.84,10253.08,5107.77,2685.98,2,1,23,363875.3999999999
2020-06-03,6,2020,9927.55,6800.5,3127.05,-1577.71,2,2,23,362297.6899999999
2020-06-04,6,2020,11903.65,7806.92,4096.73,1770.93,2,3,23,364068.6199999999
2020-06-05,6,2020,13222.47,9392.98,3829.48,3146.91,2,4,23,367215.52999999985
2020-06-06,6,2020,6978.17,5093.13,1885.05,1733.17,2,5,23,368948.69999999984
2020-06-07,6,2020,7737.12,5175.03,2562.1,3748.97,2,6,23,372697.6699999998
2020-06-08,6,2020,11765.05,7545.18,4219.87,3088.25,2,0,24,375785.9199999998
2020-06-09,6,2020,12474.17,7786.53,4687.63,1204.11,2,1,24,376990.0299999998
2020-06-10,6,2020,11481.26,7814.32,3666.94,9172.05,2,2,24,386162.0799999998
2020-06-11,6,2020,13041.19,10439.6,2601.58,0.78,2,3,24,386162.8599999998
2020-06-12,6,2020,12199.57,9634.34,2565.23,12163.63,2,4,24,398326.4899999998
2020-06-13,6,2020,4789.57,3144.3,1645.27,-1048.1,2,5,24,397278.38999999984
2020-06-14,6,2020,7650.6,5599.46,2051.14,1405.39,2,6,24,398683.77999999985
2020-06-15,6,2020,11684.96,7624.24,4060.72,-710.86,2,0,25,397972.91999999987
2020-06-16,6,2020,12053.99,8526.22,3527.77,1696.0,2,1,25,399668.91999999987
2020-06-17,6,2020,12298.81,9395.34,2903.47,-1944.14,2,2,25,397724.77999999985
2020-06-18,6,2020,10599.94,7815.47,2784.47,4136.88,2,3,25,401861.65999999986
2020-06-19,6,2020,12579.01,9797.45,2781.56,1872.27,2,4,25,403733.9299999999
2020-06-20,6,2020,6957.34,5041.21,1916.12,-594.19,2,5,25,403139.7399999999
2020-06-21,6,2020,7196.97,5702.45,1494.52,3440.84,2,6,25,406580.5799999999
2020-06-22,6,2020,11600.29,8338.99,3261.3,8802.12,2,0,26,415382.6999999999
2020-06-23,6,2020,14216.04,9904.5,4311.55,4342.52,2,1,26,419725.2199999999
2020-06-24,6,2020,10515.9,6205.01,4310.89,6189.25,2,2,26,425914.4699999999
2020-06-25,6,2020,11411.24,8405.03,3006.21,3936.89,2,3,26,429851.3599999999
2020-06-26,6,2020,12605.27,8607.08,3998.2,1694.09,2,4,26,431545.44999999995
2020-06-27,6,2020,8530.64,6143.24,2387.4,1196.83,2,5,26,432742.27999999997
2020-06-28,6,2020,7898.92,5466.58,2432.34,5420.64,2,6,26,438162.92
2020-06-29,6,2020,12562.11,9238.81,3323.3,9249.17,2,0,27,447412.08999999997
2020-06-30,6,2020,11491.08,9078.49,2412.59,6546.87,2,1,27,453958.95999999996
2020-07-01,7,2020,13246.9,9245.77,4001.13,7375.97,3,2,27,461334.92999999993
2020-07-02,7,2020,10831.86,7994.14,2837.72,-1117.62,3,3,27,460217.30999999994
2020-07-03,7,2020,12813.91,8967.43,3846.48,3016.09,3,4,27,463233.39999999997
2020-07-04,7,2020,7889.2,4717.06,3172.14,-580.9,3,5,27,462652.49999999994
2020-07-05,7,2020,6956.75,4771.95,2184.8,10033.78,3,6,27,472686.27999999997
2020-07-06,7,2020,13161.55,9792.39,3369.16,1550.33,3,0,28,474236.61
2020-07-07,7,2020,13083.65,9500.12,3583.53,-137.48,3,1,28,474099.13
2020-07-08,7,2020,12644.64,9684.07,2960.57,2117.86,3,2,28,476216.99
2020-07-09,7,2020,11573.69,7795.29,3778.4,3816.59,3,3,28,480033.58
2020-07-10,7,2020,14457.05,9765.95,4691.1,5160.75,3,4,28,485194.33
2020-07-11,7,2020,7549.45,4654.77,2894.68,3715.57,3,5,28,488909.9
2020-07-12,7,2020,6801.66,4263.15,2538.51,2747.09,3,6,28,491656.99000000005
2020-07-13,7,2020,15101.13,10224.31,4876.82,2151.25,3,0,29,493808.24000000005
2020-07-14,7,2020,13773.08,8555.57,5217.51,3653.59,3,1,29,497461.8300000001
2020-07-15,7,2020,12125.46,8727.78,3397.67,7158.72,3,2,29,504620.55000000005
2020-07-16,7,2020,9562.53,6874.77,2687.75,4731.15,3,3,29,509351.70000000007
2020-07-17,7,2020,14940.87,11806.65,3134.22,4737.4,3,4,29,514089.1000000001
2020-07-18,7,2020,8583.16,5881.5,2701.66,138.51,3,5,29,514227.6100000001
2020-07-19,7,2020,7176.52,4750.8,2425.72,9660.21,3,6,29,523887.8200000001
2020-07-20,7,2020,12623.39,9615.04,3008.35,1640.35,3,0,30,525528.1700000002
2020-07-21,7,2020,14062.51,10703.33,3359.18,-342.31,3,1,30,525185.8600000001
2020-07-22,7,2020,12633.33,8719.3,3914.03,8394.07,3,2,30,533579.93
2020-07-23,7,2020,13924.8,9691.16,4233.64,6926.78,3,3,30,540506.7100000001
2020-07-24,7,2020,13160.07,9509.82,3650.25,8557.79,3,4,30,549064.5000000001
2020-07-25,7,2020,7111.85,5121.74,1990.11,-1608.79,3,5,30,547455.7100000001
2020-07-26,7,2020,8009.04,5345.75,2663.29,3740.26,3,6,30,551195.9700000001
2020-07-27,7,2020,12953.99,10365.4,2588.59,-1570.88,3,0,31,549625.0900000001
2020-07-28,7,2020,13583.05,8776.92,4806.13,1542.18,3,1,31,551167.2700000001
2020-07-29,7,2020,13873.28,9666.8,4206.47,3798.31,3,2,31,554965.5800000002
2020-07-30,7,2020,13436.74,10227.5,3209.24,1737.95,3,3,31,556703.5300000001
2020-07-31,7,2020,13917.51,10291.93,3625.58,3857.09,3,4,31,560560.6200000001
2020-08-01,8,2020,7380.55,5598.73,1781.82,-3840.51,3,5,31,556720.1100000001
2020-08-02,8,2020,9242.78,6329.9,2912.88,6599.51,3,6,31,563319.6200000001
2020-08-03,8,2020,12767.37,10942.89,1824.48,5636.91,3,0,32,568956.5300000001
2020-08-04,8,2020,12859.06,7952.9,4906.16,5187.15,3,1,32,574143.6800000002
2020-08-05,8,2020,13040.85,9245.58,3795.27,5282.59,3,2,32,579426.2700000001
2020-08-06,8,2020,15161.97,10711.41,4450.56,9080.87,3,3,32,588507.1400000001
2020-08-07,8,2020,13319.11,9583.37,3735.74,5824.24,3,4,32,594331.3800000001
2020-08-08,8,2020,6846.89,5107.2,1739.69,1091.36,3,5,32,595422.7400000001
2020-08-09,8,2020,6494.73,4370.85,2123.88,1058.87,3,6,32,596481.6100000001
2020-08-10,8,2020,13505.89,10397.79,3108.1,11927.97,3,0,33,608409.5800000001
2020-08-11,8,2020,13169.17,10700.25,2468.92,2374.99,3,1,33,610784.5700000001
2020-08-12,8,2020,13807.05,9489.76,4317.29,-733.62,3,2,33,610050.9500000001
2020-08-13,8,2020,12481.61,9515.82,2965.79,-5160.34,3,3,33,604890.6100000001
2020-08-14,8,2020,11337.92,8112.18,3225.74,9628.87,3,4,33,614519.4800000001
2020-08-15,8,2020,7756.31,5372.41,2383.9,-1926.34,3,5,33,612593.1400000001
2020-08-16,8,2020,7657.23,6347.73,1309.5,-1456.04,3,6,33,611137.1000000001
2020-08-17,8,2020,15041.63,10112.8,4928.83,812.57,3,0,34,611949.67
2020-08-18,8,2020,13618.74,10641.95,2976.79,6426.49,3,1,34,618376.16
2020-08-19,8,2020,10715.56,6829.49,3886.06,-720.12,3,2,34,617656.04
2020-08-20,8,2020,12223.7,8682.14,3541.55,-1466.12,3,3,34,616189.92
2020-08-21,8,2020,12582.37,7840.05,4742.32,-16.7,3,4,34,616173.2200000001
2020-08-22,8,2020,7733.68,5457.43,2276.25,722.22,3,5,34,616895.4400000001
2020-08-23,8,2020,8761.83,6437.5,2324.34,3290.25,3,6,34,620185.6900000001
2020-08-24,8,2020,12889.34,9269.76,3619.58,2425.17,3,0,35,622610.8600000001
2020-08-25,8,2020,13907.36,10272.74,3634.61,5225.18,3,1,35,627836.0400000002
2020-08-26,8,2020,11432.0,8091.24,3340.76,4038.48,3,2,35,631874.5200000001
2020-08-27,8,2020,16118.23,10715.17,5403.06,2478.49,3,3,35,634353.0100000001
2020-08-28,8,2020,12625.98,10199.11,2426.88,2247.38,3,4,35,636600.3900000001
2020-08-29,8,2020,6885.5,4687.36,2198.14,1625.69,3,5,35,638226.0800000001
2020-08-30,8,2020,8127.29,5920.1,2207.19,1114.16,3,6,35,639340.2400000001
2020-08-31,8,2020,13726.3,8896.99,4829.31,4204.93,3,0,36,643545.1700000002
2020-09-01,9,2020,13041.21,9723.77,3317.44,-624.11,3,1,36,642921.0600000002
2020-09-02,9,2020,9689.5,6395.29,3294.21,-1562.35,3,2,36,641358.7100000002
2020-09-03,9,2020,11941.95,8113.32,3828.63,9161.95,3,3,36,650520.6600000001
2020-09-04,9,2020,11888.99,8351.45,3537.54,-707.35,3,4,36,649813.3100000002
2020-09-05,9,2020,6767.32,4710.37,2056.96,2602.07,3,5,36,652415.3800000001
2020-09-06,9,2020,5903.98,3923.45,1980.53,4062.05,3,6,36,656477.4300000002
2020-09-07,9,2020,12541.31,8319.28,4222.04,3537.29,3,0,37,660014.7200000002
2020-09-08,9,2020,10699.35,7958.76,2740.6,6687.1,3,1,37,666701.8200000002
2020-09-09,9,2020,12341.75,8388.56,3953.19,6461.7,3,2,37,673163.5200000001
2020-09-10,9,2020,12565.71,8295.61,4270.1,1485.06,3,3,37,674648.5800000002
2020-09-11,9,2020,11535.96,6944.56,4591.4,5489.24,3,4,37,680137.8200000002
2020-09-12,9,2020,8376.92,5791.41,2585.51,-386.11,3,5,37,679751.7100000002
2020-09-13,9,2020,8137.73,5885.63,2252.1,2556.79,3,6,37,682308.5000000002
2020-09-14,9,2020,11482.71,8566.87,2915.83,935.87,3,0,38,683244.3700000002
2020-09-15,9,2020,10847.19,7684.36,3162.83,2091.48,3,1,38,685335.8500000002
2020-09-16,9,2020,11328.44,7980.91,3347.53,15903.11,3,2,38,701238.9600000002
2020-09-17,9,2020,10667.6,8160.08,2507.52,8719.18,3,3,38,709958.1400000002
2020-09-18,9,2020,11079.04,7513.77,3565.26,-1879.27,3,4,38,708078.8700000002
2020-09-19,9,2020,7387.17,5655.31,1731.86,900.58,3,5,38,708979.4500000002
2020-09-20,9,2020,7637.37,5325.98,2311.4,4799.0,3,6,38,713778.4500000002
2020-09-21,9,2020,12582.15,8790.1,3792.05,229.23,3,0,39,714007.6800000002
2020-09-22,9,2020,10565.07,7269.54,3295.53,6717.0,3,1,39,720724.6800000002
2020-09-23,9,2020,10719.41,7385.0,3334.41,3577.34,3,2,39,724302.0200000001
2020-09-24,9,2020,11307.55,8388.82,2918.73,4614.67,3,3,39,728916.6900000002
2020-09-25,9,2020,10687.33,6926.03,3761.3,5621.54,3,4,39,734538.2300000002
2020-09-26,9,2020,6917.12,4812.28,2104.84,-148.92,3,5,39,734389.3100000002
2020-09-27,9,2020,7331.1,5397.01,1934.09,2274.13,3,6,39,736663.4400000002
2020-09-28,9,2020,12524.72,9006.0,3518.72,4864.68,3,0,40,741528.1200000002
2020-09-29,9,2020,12346.93,9117.92,3229.01,3021.4,3,1,40,744549.5200000003
2020-09-30,9,2020,12938.27,8501.67,4436.6,-120.52,3,2,40,744429.0000000002
2020-10-01,10,2020,14218.05,11818.81,2399.23,-530.4,4,3,40,743898.6000000002
2020-10-02,10,2020,13166.27,9955.13,3211.14,8060.92,4,4,40,751959.5200000003
2020-10-03,10,2020,7124.22,4651.55,2472.67,2667.58,4,5,40,754627.1000000002
2020-10-04,10,2020,7048.87,4789.07,2259.81,10637.72,4,6,40,765264.8200000002
2020-10-05,10,2020,11576.8,8279.4,3297.39,2673.17,4,0,41,767937.9900000002
2020-10-06,10,2020,11474.62,8507.2,2967.42,3727.19,4,1,41,771665.1800000002
2020-10-07,10,2020,12343.87,9447.11,2896.76,3761.54,4,2,41,775426.7200000002
2020-10-08,10,2020,11535.04,7975.76,3559.28,-2531.64,4,3,41,772895.0800000002
2020-10-09,10,2020,14534.72,9391.84,5142.89,2465.44,4,4,41,775360.5200000001
2020-10-10,10,2020,8236.42,4967.65,3268.77,3573.05,4,5,41,778933.5700000002
2020-10-11,10,2020,8598.88,6738.92,1859.97,2793.4,4,6,41,781726.9700000002
2020-10-12,10,2020,13534.64,9342.32,4192.32,2957.37,4,0,42,784684.3400000002
2020-10-13,10,2020,10908.21,7607.58,3300.63,8642.36,4,1,42,793326.7000000002
2020-10-14,10,2020,13381.98,9888.02,3493.96,3651.5,4,2,42,796978.2000000002
2020-10-15,10,2020,12158.54,8387.16,3771.38,-184.72,4,3,42,796793.4800000002
2020-10-16,10,2020,13408.7,8847.61,4561.09,1676.54,4,4,42,798470.0200000003
2020-10-17,10,2020,5586.8,4157.71,1429.09,3875.32,4,5,42,802345.3400000002
2020-10-18,10,2020,8233.01,5607.95,2625.06,8834.92,4,6,42,811180.2600000002
2020-10-19,10,2020,12848.95,8542.45,4306.5,4058.32,4,0,43,815238.5800000002
2020-10-20,10,2020,11310.3,7738.92,3571.38,3390.45,4,1,43,818629.0300000001
2020-10-21,10,2020,13562.3,11299.55,2262.75,1899.06,4,2,43,820528.0900000002
2020-10-22,10,2020,12781.8,10104.97,2676.82,-907.1,4,3,43,819620.9900000002
2020-10-23,10,2020,11766.83,9419.35,2347.48,1237.06,4,4,43,820858.0500000003
2020-10-24,10,2020,7170.69,4727.29,2443.4,4804.3,4,5,43,825662.3500000003
2020-10-25,10,2020,7985.58,5912.9,2072.68,159.49,4,6,43,825821.8400000003
2020-10-26,10,2020,14285.22,10270.98,4014.24,3026.38,4,0,44,828848.2200000003
2020-10-27,10,2020,11398.57,7114.91,4283.66,5810.18,4,1,44,834658.4000000004
2020-10-28,10,2020,12185.87,7995.65,4190.23,10378.14,4,2,44,845036.5400000004
2020-10-29,10,2020,11345.87,8472.14,2873.73,4961.3,4,3,44,849997.8400000004
2020-10-30,10,2020,8943.52,6735.98,2207.54,-1044.1,4,4,44,848953.7400000005
