date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit,revenue_growth_rate,profit_growth_rate,rolling_avg_revenue_7d,rolling_avg_revenue_30d
2021-02-10,Wednesday,February,2021,Q1,41338,43528,29636,11702,28.31,1511107,220807,21.876289875582277,541.9089413055403,36438.28571428572,36833.63333333333
2021-02-11,Thursday,February,2021,Q1,38332,40145,30341,7991,20.85,1549439,228798,-7.271759640040642,-31.712527773030253,36854.42857142857,36922.566666666666
2021-02-12,Friday,February,2021,Q1,39332,49514,28811,10521,26.75,1588771,239319,2.6087863925701837,31.6606181954699,36109.71428571428,36699.6
2021-02-13,Saturday,February,2021,Q1,28159,33679,30678,-2519,-8.95,1616930,236800,-28.4068951489881,-123.94259100845927,36404.42857142857,36430.3
2021-02-14,Sunday,February,2021,Q1,25953,28433,78816,-52863,-203.69,1642883,183937,-7.834085017223624,1998.5708614529574,36343.42857142857,36015.73333333333
2021-02-15,Monday,February,2021,Q1,42614,48263,29077,13537,31.77,1685497,197474,64.19681732362348,-125.60770293021584,35663.71428571428,36761.13333333333
2021-02-16,Tuesday,February,2021,Q1,36357,38705,29632,6725,18.5,1721854,204199,-14.682968038672739,-50.3213415084583,36012.142857142855,37014.3
2021-02-17,Wednesday,February,2021,Q1,39816,47873,28931,10885,27.34,1761670,215084,9.5139863025002,61.858736059479554,35794.71428571428,36988.46666666667
2021-02-18,Thursday,February,2021,Q1,32056,36019,30000,2056,6.41,1793726,217140,-19.48965240104481,-81.11162149747358,34898.142857142855,36481.63333333333
2021-02-19,Friday,February,2021,Q1,38842,29897,33913,4929,12.69,1832568,222069,21.16920389318693,139.7373540856031,34828.142857142855,36245.433333333334
2021-02-20,Saturday,February,2021,Q1,27212,27120,29152,-1940,-7.13,1859780,220129,-29.94181556047577,-139.35889632785555,34692.857142857145,35798.166666666664
2021-02-21,Sunday,February,2021,Q1,26842,31940,29673,-2831,-10.55,1886622,217298,-1.3596942525356481,45.92783505154638,34819.857142857145,35130.73333333333
2021-02-22,Monday,February,2021,Q1,44481,50835,32260,12221,27.47,1931103,229519,65.71417927129126,-531.6849169904627,35086.57142857143,35670.433333333334
2021-02-23,Tuesday,February,2021,Q1,45833,56259,33902,11931,26.03,1976936,241450,3.039500011240759,-2.3729645691841883,36440.28571428572,36517.13333333333
2021-02-24,Wednesday,February,2021,Q1,37314,45066,33793,3521,9.44,2014250,244971,-18.587044269412868,-70.48864303076022,36082.857142857145,36581.333333333336
2021-02-25,Thursday,February,2021,Q1,44597,39005,33759,10838,24.3,2058847,255809,19.518143324221484,207.81028117012212,37874.42857142857,36654.63333333333
2021-02-26,Friday,February,2021,Q1,39364,37368,29783,9581,24.34,2098211,265390,-11.733973137206544,-11.598080826720803,37949.0,36586.36666666667
2021-02-27,Saturday,February,2021,Q1,22351,26804,30108,-7757,-34.71,2120562,257633,-43.21969312061782,-180.96232126082873,37254.57142857143,35781.86666666667
2021-02-28,Sunday,February,2021,Q1,28619,30308,29076,-457,-1.6,2149181,257176,28.043487987114666,-94.10854711873147,37508.42857142857,35598.63333333333
2021-03-01,Monday,March,2021,Q1,59250,51589,31087,28163,47.53,2208431,285339,107.03029455955834,-6262.582056892779,39618.28571428572,36872.73333333333
2021-03-02,Tuesday,March,2021,Q1,52124,51761,31982,20142,38.64,2260555,305481,-12.027004219409287,-28.480630614636226,40517.0,37754.73333333333
2021-03-03,Wednesday,March,2021,Q1,40033,47027,32882,7151,17.86,2300588,312632,-23.19660808840457,-64.49707079733889,40905.42857142857,37889.9
2021-03-04,Thursday,March,2021,Q1,47284,39793,30430,16854,35.64,2347872,329486,18.112557140359197,135.68731645923648,41289.28571428572,37906.96666666667
2021-03-05,Friday,March,2021,Q1,54395,49095,30922,23473,43.15,2402267,352959,15.038913797479058,39.272576243028354,43436.57142857143,38207.6
2021-03-06,Saturday,March,2021,Q1,25527,25803,32617,-7090,-27.77,2427794,345869,-53.07105432484603,-130.2049162867976,43890.28571428572,37877.86666666667
2021-03-07,Sunday,March,2021,Q1,27611,26734,30157,-2546,-9.22,2455405,343323,8.163904885023697,-64.09026798307475,43746.28571428572,37313.4
2021-03-08,Monday,March,2021,Q1,53094,52047,29696,23398,44.07,2508499,366721,92.29292673209952,-1019.0102120974077,42866.857142857145,38213.333333333336
2021-03-09,Tuesday,March,2021,Q1,55920,46516,31597,24323,43.5,2564419,391044,5.322635326025549,3.953329344388412,43409.142857142855,39198.0
2021-03-10,Wednesday,March,2021,Q1,56368,63102,29765,26603,47.2,2620787,417647,0.8011444921316224,9.373843687045191,45742.71428571428,39497.86666666667
2021-03-11,Thursday,March,2021,Q1,44896,46004,28808,16088,35.83,2665683,433735,-20.35197275049674,-39.525617411570124,45401.57142857143,39863.8
2021-03-12,Friday,March,2021,Q1,79032,85190,29887,49145,62.18,2744715,482880,76.0334996436208,205.47613127797115,48921.142857142855,41120.26666666667
2021-03-13,Saturday,March,2021,Q1,33240,27799,29458,3782,11.38,2777955,486662,-57.941087154570305,-92.30440533116288,50023.0,40950.53333333333
2021-03-14,Sunday,March,2021,Q1,24602,22904,31225,-6623,-26.92,2802557,480039,-25.986762936221417,-275.1189846641989,49593.142857142855,40459.53333333333
2021-03-15,Monday,March,2021,Q1,59757,64830,33965,25792,43.16,2862314,505831,142.8948865945858,-489.43077155367655,50545.0,41512.8
2021-03-16,Tuesday,March,2021,Q1,50095,56990,34002,16093,32.12,2912409,521924,-16.168817042354867,-37.60468362282878,49712.857142857145,42317.53333333333
2021-03-17,Wednesday,March,2021,Q1,45183,41173,33174,12009,26.58,2957592,533933,-9.805369797384966,-25.37749332007705,48115.0,42403.166666666664
2021-03-18,Thursday,March,2021,Q1,45491,36992,30061,15430,33.92,3003083,549363,0.6816723103822309,28.486968107252885,48200.0,42707.63333333333
2021-03-19,Friday,March,2021,Q1,42767,38910,32800,9967,23.31,3045850,559330,-5.987997625904029,-35.4050550874919,43019.28571428572,42806.0
2021-03-20,Saturday,March,2021,Q1,30511,28618,30996,-485,-1.59,3076361,558845,-28.65760983936213,-104.86605799137152,42629.42857142857,42754.5
2021-03-21,Sunday,March,2021,Q1,32346,37943,63798,-31452,-97.24,3108707,527393,6.014224378093136,6384.948453608247,43735.71428571428,42537.96666666667
2021-03-22,Monday,March,2021,Q1,47799,57143,31740,16059,33.6,3156506,543452,47.77406789092933,-151.0587561999237,42027.42857142857,43224.2
2021-03-23,Tuesday,March,2021,Q1,57956,56373,31409,26547,45.81,3214462,569999,21.249398522981643,65.30917242667662,43150.42857142857,44261.333333333336
2021-03-24,Wednesday,March,2021,Q1,55962,63056,34143,21819,38.99,3270424,591818,-3.4405411001449338,-17.809922025087577,44690.28571428572,44644.03333333333
2021-03-25,Thursday,March,2021,Q1,58138,61257,28878,29260,50.33,3328562,621078,3.8883528108359267,34.103304459416094,46497.0,45054.2
2021-03-26,Friday,March,2021,Q1,43634,38766,31214,12420,28.46,3372196,633498,-24.94753861501944,-57.552973342447025,46620.857142857145,45264.86666666667
2021-03-27,Saturday,March,2021,Q1,27339,32020,33609,-6270,-22.93,3399535,627228,-37.34473117293854,-150.4830917874396,46167.71428571428,44689.6
2021-03-28,Sunday,March,2021,Q1,24625,28274,28782,-4157,-16.88,3424160,623071,-9.927210212516913,-33.70015948963317,45064.71428571428,44198.3
2021-03-29,Monday,March,2021,Q1,40620,37752,32264,8356,20.57,3464780,631427,64.95431472081219,-301.01034399807554,44039.142857142855,44807.26666666667
2021-03-30,Tuesday,March,2021,Q1,42287,49686,29964,12323,29.14,3507067,643750,4.103889709502706,47.47486835806607,41800.71428571428,45262.86666666667
2021-03-31,Wednesday,March,2021,Q1,59274,66241,29381,29893,50.43,3566341,673643,40.17073805188356,142.57891747139496,42273.857142857145,45263.666666666664
2021-04-01,Thursday,April,2021,Q2,58577,62815,30714,27863,47.57,3624918,701506,-1.1758949961197196,-6.790887498745524,42336.57142857143,45478.76666666667
2021-04-02,Friday,April,2021,Q2,51841,57186,32742,19099,36.84,3676759,720605,-11.499393960086724,-31.453899436528733,43509.0,45872.36666666667
2021-04-03,Saturday,April,2021,Q2,33666,37903,28608,5058,15.02,3710425,725663,-35.0591230879034,-73.51693805958426,44412.857142857145,45418.433333333334
2021-04-04,Sunday,April,2021,Q2,24827,25010,30996,-6169,-24.85,3735252,719494,-26.25497534604646,-221.96520363780152,44441.71428571428,44432.833333333336
2021-04-05,Monday,April,2021,Q2,47243,54422,29313,17930,37.95,3782495,737424,90.2887984855198,-390.64678229858976,45387.857142857145,45156.7
2021-04-06,Tuesday,April,2021,Q2,53009,57794,33230,19779,37.31,3835504,757203,12.204982748767023,10.312325711098724,46919.57142857143,46003.3
2021-04-07,Wednesday,April,2021,Q2,51849,46937,34238,17611,33.97,3887353,774814,-2.1883076458714568,-10.961120380201228,45858.857142857145,45961.8
2021-04-08,Thursday,April,2021,Q2,55009,57496,30469,24540,44.61,3942362,799354,6.094620918436222,39.34472772698881,45349.142857142855,45931.433333333334
2021-04-09,Friday,April,2021,Q2,49750,45728,30111,19639,39.48,3992112,818993,-9.560253776654726,-19.971475142624286,45050.42857142857,45710.833333333336
2021-04-10,Saturday,April,2021,Q2,30669,29919,29870,799,2.61,4022781,819792,-38.3537688442211,-95.93156474362239,44622.28571428572,45236.6
2021-04-11,Sunday,April,2021,Q2,26883,27189,60456,-33573,-124.89,4049664,786219,-12.344712902279175,-4301.8773466833545,44916.0,43498.3
2021-04-12,Monday,April,2021,Q2,53835,50066,31331,22504,41.8,4103499,808723,100.25666778261355,-167.03005391237005,45857.71428571428,44184.8
2021-04-13,Tuesday,April,2021,Q2,54918,52239,30056,24862,45.27,4158417,833585,2.011702424073558,10.478137220049778,46130.42857142857,45195.333333333336
2021-04-14,Wednesday,April,2021,Q2,43851,37311,33151,10700,24.4,4202268,844285,-20.15186277723151,-56.96243262810715,44987.857142857145,44665.13333333333
2021-04-15,Thursday,April,2021,Q2,49683,56726,31655,18028,36.29,4251951,862313,13.299582677704036,68.48598130841121,44227.0,44651.4
2021-04-16,Friday,April,2021,Q2,43882,37845,28439,15443,35.19,4295833,877756,-11.676026004870877,-14.33880630130907,43388.71428571428,44608.03333333333
2021-04-17,Saturday,April,2021,Q2,35691,37172,29145,6546,18.34,4331524,884302,-18.6659678227975,-57.61186297999094,44106.142857142855,44281.36666666667
2021-04-18,Sunday,April,2021,Q2,34472,35384,31124,3348,9.71,4365996,887650,-3.415426858311621,-48.85426214482127,45190.28571428572,44004.86666666667
2021-04-19,Monday,April,2021,Q2,58821,60174,30874,27947,47.51,4424817,915597,70.63413785100951,734.73715651135,45902.57142857143,44948.53333333333
2021-04-20,Tuesday,April,2021,Q2,41072,35530,30264,10808,26.31,4465889,926405,-30.174597507692834,-61.326797151751535,43924.57142857143,45239.4
2021-04-21,Wednesday,April,2021,Q2,55288,59315,29771,25517,46.15,4521177,951922,34.61238800155824,136.09363434492968,45558.42857142857,45489.03333333333
2021-04-22,Thursday,April,2021,Q2,48854,58631,30273,18581,38.03,4570031,970503,-11.63724497178411,-27.181878747501663,45440.0,45185.63333333333
2021-04-23,Friday,April,2021,Q2,54801,62724,29679,25122,45.84,4624832,995625,12.17300528104146,35.202626338733126,46999.857142857145,45146.933333333334
2021-04-24,Saturday,April,2021,Q2,26085,20574,31188,-5103,-19.56,4650917,990522,-52.40050364044452,-120.31287317888703,45627.57142857143,44078.5
2021-04-25,Sunday,April,2021,Q2,26777,29582,31210,-4433,-16.56,4677694,986089,2.652865631589041,-13.129531648050163,44528.28571428572,43516.6
2021-04-26,Monday,April,2021,Q2,55756,59488,34232,21524,38.6,4733450,1007613,108.22347537065392,-585.5402661854275,44090.42857142857,44463.833333333336
2021-04-27,Tuesday,April,2021,Q2,52952,63614,28799,24153,45.61,4786402,1031766,-5.029055168950425,12.214272440066898,45787.57142857143,45408.066666666666
2021-04-28,Wednesday,April,2021,Q2,54979,55306,29133,25846,47.01,4841381,1057612,3.8279951654328404,7.009481223864533,45743.42857142857,45886.7
2021-04-29,Thursday,April,2021,Q2,58853,58827,28856,29997,50.97,4900234,1087609,7.046326779315737,16.060512264953953,47171.857142857145,46438.9
2021-04-30,Friday,April,2021,Q2,46446,40099,34410,12036,25.91,4946680,1099645,-21.081338249536984,-59.87598759875987,45978.28571428572,46011.3
2021-05-01,Saturday,May,2021,Q2,35409,43216,30047,5362,15.14,4982089,1105007,-23.763079705464406,-55.45031571950814,47310.28571428572,45239.03333333333
2021-05-02,Sunday,May,2021,Q2,29646,32750,29493,153,0.52,5011735,1105160,-16.2755231720749,-97.14658709436777,47720.142857142855,44499.2
2021-05-03,Monday,May,2021,Q2,49834,41052,30449,19385,38.9,5061569,1124545,68.09687647574717,12569.934640522875,46874.142857142855,45038.13333333333
2021-05-04,Tuesday,May,2021,Q2,46596,49142,34304,12292,26.38,5108165,1136837,-6.497571938836943,-36.59014702089244,45966.142857142855,45763.76666666667
2021-05-05,Wednesday,May,2021,Q2,49096,44650,34462,14634,29.81,5157261,1151471,5.365267404927465,19.053042629352433,45125.71428571428,45825.53333333333
2021-05-06,Thursday,May,2021,Q2,59762,63801,30953,28809,48.21,5217023,1180280,21.724784096464077,96.86346863468636,45255.57142857143,46050.63333333333
2021-05-07,Friday,May,2021,Q2,55128,59398,29632,25496,46.25,5272151,1205776,-7.754091228539872,-11.499878510187788,46495.857142857145,46159.933333333334
2021-05-08,Saturday,May,2021,Q2,29257,30381,34480,-5223,-17.85,5301408,1200553,-46.92896531708025,-120.4855663633511,45617.0,45301.53333333333
2021-05-09,Sunday,May,2021,Q2,25900,26564,28937,-3037,-11.73,5327308,1197516,-11.474177120005468,-41.85334099176718,45081.857142857145,44506.53333333333
2021-05-10,Monday,May,2021,Q2,49228,43080,31489,17739,36.03,5376536,1215255,90.06949806949807,-684.0961475139941,44995.28571428572,45125.166666666664
2021-05-11,Tuesday,May,2021,Q2,45468,54031,29885,15583,34.27,5422004,1230838,-7.6379296335418845,-12.15401093635492,44834.142857142855,45744.666666666664
2021-05-12,Wednesday,May,2021,Q2,58437,60853,33793,24644,42.17,5480441,1255482,28.523357086302447,58.146698325097866,46168.57142857143,45898.066666666666
2021-05-13,Thursday,May,2021,Q2,48298,56731,33519,14779,30.6,5528739,1270261,-17.350308879648168,-40.030027592923226,44530.857142857145,45677.4
2021-05-14,Friday,May,2021,Q2,51738,61998,29286,22452,43.4,5580477,1292713,7.122448134498316,51.918262399350425,44046.57142857143,45940.3
2021-05-15,Saturday,May,2021,Q2,30623,31015,30377,246,0.8,5611100,1292959,-40.8113958792377,-98.90432923570283,44241.71428571428,45304.96666666667
2021-05-16,Sunday,May,2021,Q2,30861,28331,28624,2237,7.25,5641961,1295196,0.7771936126441004,809.349593495935,44950.42857142857,44870.933333333334
2021-05-17,Monday,May,2021,Q2,56228,54544,33520,22708,40.39,5698189,1317904,82.19759567091151,915.1095216808225,45950.42857142857,45555.5
2021-05-18,Tuesday,May,2021,Q2,40740,41145,33829,6911,16.96,5738929,1324815,-27.544995375969272,-69.56579179143914,45275.0,45764.433333333334
2021-05-19,Wednesday,May,2021,Q2,50519,50753,30932,19587,38.77,5789448,1344402,24.003436426116842,183.41773983504558,44143.857142857145,45487.7
2021-05-20,Thursday,May,2021,Q2,49389,57711,32714,16675,33.76,5838837,1361077,-2.236782200756149,-14.867003624853215,44299.71428571428,45764.933333333334
2021-05-21,Friday,May,2021,Q2,57046,64462,30344,26702,46.81,5895883,1387779,15.503452185709365,60.131934032983516,45058.0,45823.53333333333
2021-05-22,Saturday,May,2021,Q2,34468,26857,32326,2142,6.21,5930351,1389921,-39.57858570276619,-91.97812897910269,45607.28571428572,45344.0
2021-05-23,Sunday,May,2021,Q2,32961,30801,32342,619,1.88,5963312,1390540,-4.372171289311821,-71.10177404295051,45907.28571428572,44616.0
2021-05-24,Monday,May,2021,Q2,53880,59733,33365,20515,38.08,6017192,1411055,63.46591426231001,3214.2164781906304,45571.857142857145,45542.5
2021-05-25,Tuesday,May,2021,Q2,42911,43732,33342,9569,22.3,6060103,1420624,-20.35820341499629,-53.356080916402625,45882.0,46080.3
2021-05-26,Wednesday,May,2021,Q2,57416,58606,34100,23316,40.61,6117519,1443940,33.802521497984195,143.66182464207338,46867.28571428572,46135.63333333333
2021-05-27,Thursday,May,2021,Q2,45079,38672,33419,11660,25.87,6162598,1455600,-21.48704193952905,-49.991422199348094,46251.57142857143,45873.2
2021-05-28,Friday,May,2021,Q2,43159,41502,32051,11108,25.74,6205757,1466708,-4.259189423012932,-4.734133790737561,44267.71428571428,45479.2
2021-05-29,Saturday,May,2021,Q2,27001,29806,30773,-3772,-13.97,6232758,1462936,-37.43830950670775,-133.95750810226863,43201.0,44417.46666666667
2021-05-30,Sunday,May,2021,Q2,30863,33352,30209,654,2.12,6263621,1463590,14.303173956520121,-117.33828207847297,42901.28571428572,43898.03333333333
2021-05-31,Monday,May,2021,Q2,45489,47556,33041,12448,27.36,6309110,1476038,47.39007873505492,1803.3639143730888,41702.57142857143,44234.03333333333
2021-06-01,Tuesday,June,2021,Q2,54928,62443,33382,21546,39.23,6364038,1497584,20.750071445844043,73.08804627249357,43419.28571428572,45076.76666666667
2021-06-02,Wednesday,June,2021,Q2,58005,61890,32891,25114,43.3,6422043,1522698,5.601878823186723,16.559918314304277,43503.42857142857,45349.13333333333
2021-06-03,Thursday,June,2021,Q2,57821,68133,30296,27525,47.6,6479864,1550223,-0.31721403327299447,9.600222983196627,45323.71428571428,45723.3
2021-06-04,Friday,June,2021,Q2,60111,49226,33059,27052,45.0,6539975,1577275,3.960498780719801,-1.7184377838328824,47745.42857142857,46090.46666666667
2021-06-05,Saturday,June,2021,Q2,33520,39964,34104,-584,-1.74,6573495,1576691,-44.23649581607359,-102.15880526393613,48676.71428571428,45215.73333333333
2021-06-06,Sunday,June,2021,Q2,37285,38148,33053,4232,11.35,6610780,1580923,11.232100238663477,-824.6575342465753,49594.142857142855,44620.96666666667
2021-06-07,Monday,June,2021,Q2,65183,58420,33768,31415,48.2,6675963,1612338,74.82365562558671,642.320415879017,52407.57142857143,45818.5
2021-06-08,Tuesday,June,2021,Q2,65279,72249,78495,-13216,-20.25,6741242,1599122,0.14727766442170775,-142.06907528250835,53886.28571428572,47131.13333333333
2021-06-09,Wednesday,June,2021,Q2,52108,55935,30750,21358,40.99,6793350,1620480,-20.1764732915639,-261.6071428571429,53043.857142857145,47227.13333333333
2021-06-10,Thursday,June,2021,Q2,58846,58870,34291,24555,41.73,6852196,1645035,12.93083595609119,14.968630021537589,53190.28571428572,47673.066666666666
2021-06-11,Friday,June,2021,Q2,58248,61183,32766,25482,43.75,6910444,1670517,-1.0162118070896953,3.77519853390349,52924.142857142855,47666.76666666667
2021-06-12,Saturday,June,2021,Q2,26998,23091,29081,-2083,-7.72,6937442,1668434,-53.64991072654854,-108.17439761400205,51992.42857142857,46956.76666666667
2021-06-13,Sunday,June,2021,Q2,31530,31246,32737,-1207,-3.83,6968972,1667227,16.78642862434254,-42.05472875660106,51170.28571428572,46283.166666666664
2021-06-14,Monday,June,2021,Q2,59985,70305,33602,26383,43.98,7028957,1693610,90.24738344433874,-2285.832642916321,50427.71428571428,47261.9
2021-06-15,Tuesday,June,2021,Q2,50154,52445,31151,19003,37.89,7079111,1712613,-16.389097274318576,-27.972558086646703,48267.0,47905.0
2021-06-16,Wednesday,June,2021,Q2,65580,64594,32412,33168,50.58,7144691,1745781,30.757267615743512,74.54086196916276,50191.57142857143,48216.73333333333
2021-06-17,Thursday,June,2021,Q2,65300,79525,28927,36373,55.7,7209991,1782154,-0.4269594388533138,9.66292812349252,51113.57142857143,49035.4
2021-06-18,Friday,June,2021,Q2,65364,52720,34579,30785,47.1,7275355,1812939,0.09800918836140315,-15.363044016165839,52130.142857142855,49530.23333333333
2021-06-19,Saturday,June,2021,Q2,37353,38492,33472,3881,10.39,7312708,1816820,-42.85386451257573,-87.39321097937307,53609.42857142857,49129.03333333333
2021-06-20,Sunday,June,2021,Q2,36810,37371,34549,2261,6.14,7349518,1819081,-1.4536984981125989,-41.741819118783816,54363.71428571428,48454.5
2021-06-21,Monday,June,2021,Q2,61567,53864,29180,32387,52.6,7411085,1851468,67.25618038576474,1332.4192835028748,54589.71428571428,49357.8
2021-06-22,Tuesday,June,2021,Q2,56954,44845,29148,27806,48.82,7468039,1879274,-7.4926502834310575,-14.144564176984598,55561.142857142855,50157.566666666666
2021-06-23,Wednesday,June,2021,Q2,45398,43845,32090,13308,29.31,7513437,1892582,-20.290058643817822,-52.13982593684816,52678.0,49874.833333333336
2021-06-24,Thursday,June,2021,Q2,57532,65326,32501,25031,43.51,7570969,1917613,26.728049693819102,88.08987075443342,51568.28571428572,50362.2
2021-06-25,Friday,June,2021,Q2,44685,55458,31035,13650,30.55,7615654,1931263,-22.330181464228605,-45.467620151012746,48614.142857142855,49937.833333333336
2021-06-26,Saturday,June,2021,Q2,32255,36740,29284,2971,9.21,7647909,1934234,-27.816940807877366,-78.23443223443223,47885.857142857145,49510.36666666667
2021-06-27,Sunday,June,2021,Q2,34126,36581,32113,2013,5.9,7682035,1936247,5.800651061850881,-32.245035341635806,47502.42857142857,49209.26666666667
2021-06-28,Monday,June,2021,Q2,53464,57428,32474,20990,39.26,7735499,1957237,56.666471312195974,942.722305017387,46344.857142857145,50091.36666666667
2021-06-29,Tuesday,June,2021,Q2,63040,63654,30957,32083,50.89,7798539,1989320,17.911117761484373,52.848975702715585,47214.28571428572,51163.933333333334
2021-06-30,Wednesday,June,2021,Q2,60051,54506,29955,30096,50.12,7858590,2019416,-4.741434010152279,-6.193311099336096,49307.57142857143,51649.333333333336
2021-07-01,Thursday,July,2021,Q3,54433,43644,31070,23363,42.92,7913023,2042779,-9.355381259262963,-22.371743753322704,48864.857142857145,51632.833333333336
2021-07-02,Friday,July,2021,Q3,46862,40377,31888,14974,31.95,7959885,2057753,-13.908842062719307,-35.9072036981552,49175.857142857145,51261.4
